Tipo de Organizacion,Nombre de Organizacion,Correo de Organizacion,Descripcion de la Organizacion
Especializadas,DDSS,ddss@utec.edu.pe,"El Club Democratize Data Science Society hace que esta disciplina sea accesible y comprensible para estudiantes de diversas carreras y niveles de habilidad, promoviendo la participación y la inclusión en el análisis y la toma de decisiones basadas en datos"
Especializadas,GEOUTEC,geoutec@utec.edu.pe,"Promueven el interés y la aplicación de los principios de la ingeniería geotécnica entre los estudiantes, fomentando la excelencia académica y la participación en actividades para contribuir al desarrollo profesional y personal de sus miembros."
Especializadas,GESCONUTEC,contactogescon@utec.edu.pe,"GESCON UTEC tiene como misión crear un entorno formativo que promueva la innovación, ética y liderazgo en gestión y construcción, incentivando a las futuras generaciones a impactar positivamente en su presente y futuro para mejorar las ciudades actuales y futuras."
Especializadas,IISE,iise@utec.edu.pe,"Promueven la Ingeniería Industrial en los estudiantes de UTEC, mediante diversas actividades que ofrecen las líneas de investigación."
Comunidad IEEE,IEEE RAS,ras@utec.edu.pe,"Impulsan el crecimiento de la comunidad IEEE en el sector universitario, fomentando la responsabilidad comunitaria y fortaleciendo los vínculos entre los diferentes capítulos estudiantiles que la integran."
Comunidad IEEE,IEEE EMBS,embs@utec.edu.pe,"Impulsan el crecimiento de la comunidad IEEE en el sector universitario, fomentando la responsabilidad comunitaria y fortaleciendo los vínculos entre los diferentes capítulos estudiantiles que la integran."
Comunidad IEEE,IEEE CAS,casieee@utec.edu.pe,"Impulsan el crecimiento de la comunidad IEEE en el sector universitario, fomentando la responsabilidad comunitaria y fortaleciendo los vínculos entre los diferentes capítulos estudiantiles que la integran."
Comunidad IEEE,IEEE CS,ieee_cs@utec.edu.pe,"Impulsan el crecimiento de la comunidad IEEE en el sector universitario, fomentando la responsabilidad comunitaria y fortaleciendo los vínculos entre los diferentes capítulos estudiantiles que la integran."
Especializadas,ISAUTEC,isautec@utec.edu.pe,"Fomenta la relación entre la comunidad estudiantil y el ámbito de la instrumentación, control, automatización industrial y ciberseguridad, ofreciendo eventos educativos que promueven la excelencia técnica y preparan a los miembros para enfrentar desafíos del mundo real en este campo."
Especializadas,SBE,sbe@utec.edu.pe,"El círculo de investigación interdisciplinario de bioingeniería e ingeniería biotecnológica, afiliado a AiChE internacional, se dedica a la divulgación, investigación y elaboración de proyectos en estos campos, conectando a estudiantes, profesores y egresados en un esfuerzo colaborativo global."
Especializadas,STUDENTENERGY,utecperu@studentenergy.org,"El objetivo de la comunidad de jóvenes líderes energéticos de UTEC es educar, inspirar y unir a estudiantes para liderar la transición hacia un futuro energético sostenible, promoviendo la colaboración, la innovación y la acción en proyectos responsables."
Especializadas,SWE,swe@utec.edu.pe,"La organización se centra en impactar positivamente la vida de las mujeres en ingeniería y tecnología, mediante la integración, incentivación y empoderamiento, con el objetivo de ser referente regional en el fortalecimiento de estas áreas."
Especializadas,ACM,acm@utec.edu.pe,"La misión de nuestra organización es enriquecer la experiencia educativa de los estudiantes de UTEC en computación, promoviendo el aprendizaje y ofreciendo oportunidades a través de talleres, seminarios y competencias en el área."
Especializadas,UTECBUSINESSHUB,utecbh@utec.edu.pe,"Impulsa el desarrollo de líderes empresariales y emprendedores entre los estudiantes de UTEC, mediante una plataforma de networking y colaboración, con la visión de generar un ecosistema que contribuya al desarrollo económico y educativo del país."
Especializadas,CGI,cgi@utec.edu.pe,"Comparten conocimiento, recursos y experiencias sobre la Computación Gráfica."
Especializadas,UDS,debatesociety@utec.edu.pe,"Promueve el diálogo activo sobre innovaciones en ingeniería y tecnología, enriqueciendo tanto a la universidad como a sus alumnos con habilidades blandas y nuevos temas de debate."
De Proyectos,AEROSPACE,aerospace@utec.edu.pe,"Se enfoca en desarrollar proyectos aeroespaciales innovadores y participar en concursos para impulsar la investigación y desarrollo tecnológico. Además, difunde noticias y avances del campo aeroespacial para promover la educación y conciencia sobre las últimas tendencias en este ámbito."
De Proyectos,CSL,csl@utec.edu.pe,"El Club Software Libre se dedica a introducir a los estudiantes en el mundo de la tecnología, promoviendo el uso y el desarrollo de herramientas de software libre."
De Proyectos,GIIT,giit@utec.edu.pe,GIIT Robotics es una organización multidisciplinaria en UTEC que promueve el desarrollo de la robótica mediante la creación de proyectos y la difusión de actividades para estudiantes de UTEC y otras universidades peruanas. Busca integrar a estudiantes de todas las carreras desde sus inicios en la universidad en proyectos que generen impacto social y fomenten su crecimiento profesional.
De Proyectos,KON,konteam@utec.edu.pe,KON Team tiene como misión elaborar un vehículo prototipo de propulsión eléctrica con el fin de fomentar la electromovilidad.
De Proyectos,KUNTURAERODESIGN,kunturaerodesign@utec.edu.pe,Tienen como misión utilizar los conocimientos adquiridos durante el proceso de aprendizaje universitario para la creación de un avión de competición RC y promover la cultura aeronáutica en nuestra comunidad universitaria.
De Proyectos,NEUROUTEC,neuroutec@utec.edu.pe,"Se centra en fortalecer el crecimiento de la comunidad estudiantil a través de la orientación hacia la investigación científica en diversas ramas de la neurociencia, tales como Neurobiología, Neuroingeniería, Neurociencia Computacional, Neurofarmacología, entre otras. Además, brindan oportunidades académicas, promueven la colaboración y crean un entorno propicio para el desarrollo académico y profesional de sus miembros."
De Proyectos,OHM,ohm@utec.edu.pe,"Su misión es competir en la competencia FSAE Electric 2026, destacando el talento y la capacidad de ingeniería peruana a nivel mundial. Se compromenten a demostrar su excelencia técnica, promover la innovación y ser pioneros en la representación del Perú en este tipo de competencias."
De Proyectos,UMASYNC-ROBOTICS,umasynrobotics@utec.edu.pe,"La organización estudiantil Uma SyncRobotics se dedica a aplicar el desarrollo práctico de la Inteligencia Artificial, especialmente en el campo del Machine Learning. Su enfoque se centra en la creación y utilización de tecnología robótica y biónica para mejorar y optimizar áreas críticas como la agricultura y la salud"
Recreativas,RGBUTEC,rgb@utec.edu.pe,"Brindan espacios de diversión y educación en habilidades blandas mediantes los juegos de mesa y de rol a toda la comunidad de UTEC (alumnos, profesores y personal administrativo)."
Recreativas,TINKU,tinku@utec.edu.pe,"Tinku es una organización estudiantil centrada en actividades de aventura y supervivencia en la naturaleza, promoviendo aprendizajes sobre respuestas ante peligros, culturas ancestrales y superación personal."
Recreativas,UTECGAMING,gaming@utec.edu.pe,Crean eventos y grupos sociales donde los videojuegos sean valorados por su valor formativo y social dentro de la comunidad UTEC
Arte y Cultura,DANCETEC,dancetec@utec.edu.pe,"Dance TEC se dedica a fomentar el desarrollo artístico, cultural y personal de los estudiantes a través de la danza, promoviendo la excelencia en danzas urbanas y folklóricas en un ambiente inclusivo que celebra la diversidad cultural y la creatividad."
Arte y Cultura,FILMUTECA,filmuteca@utec.edu.pe,"La organización tiene como misión promover la diversidad de opiniones y la apreciación del cine como arte, utilizando esta herramienta para estimular el pensamiento crítico y el desarrollo de habilidades blandas entre los estudiantes de UTEC, con el objetivo de generar un cambio positivo en su entorno."
Arte y Cultura,FUSICA,fusica@utec.edu.pe,"La organización busca fortalecer el aprecio y la participación en la música dentro de la comunidad universitaria mediante eventos diversos y espacios para la expresión musical, enriqueciendo a sus miembros y la comunidad en general."
Arte y Cultura,PRELUDIO,preludioutec@utec.edu.pe,La organización estudiantil acompaña el crecimiento de los estudiantes músicos en su desarrollo musical y resalta la importancia de la dedicación a la música como actividad extracurricular. Quieren formar la primera orquesta UTEC.
Deportivos,UTECLEAGUE,utecleague@utec.edu.pe,La organización tiene como objetivo fomentar la práctica del deporte y promover la integración y compañerismo entre todos los estudiantes. Su iniciativa de establecer la primera liga local de fútbol en la UTEC busca fortalecer el sentido de comunidad e incentivar la participación en actividades deportivas.
Deportivos,UTECVOLLEY,utecvolley@utec.edu.pe,La organización estudiantil tiene como misión promover el volleyball en UTEC mediante la organización de partidos de práctica y la provisión de espacios para el desarrollo de habilidades deportivas y sociales de los estudiantes.
Acción Social,UTECPRIDE,pride@utec.edu.pe,"""La organización estudiantil busca fortalecer la comunidad universitaria al proporcionar un espacio seguro y positivo para discutir temas relacionados con la comunidad LGBT+, fomentando así la solidaridad entre sus miembros."
